cid,cmpdname,canonicalsmiles,sensitizer
1554208,CFTR Inhibitor-172,C1=CC(=CC(=C1)N2C(=O)C(=CC3=CC=C(C=C3)C(=O)O)SC2=S)C(F)(F)F,1
1559386,"(2Z)-3-(2,3-dimethoxyphenyl)prop-2-enoic acid",COC1=CC=CC(=C1OC)C=CC(=O)O,1
1563362,4-(Hexyloxy)-3-methoxybenzaldehyde,CCCCCCOC1=C(C=C(C=C1)C=O)OC,1
1580621,3-Methoxy-4-(octyloxy)benzaldehyde,CCCCCCCCOC1=C(C=C(C=C1)C=O)OC,1
1585264,3-Methyl-5-phenylpent-2-enenitrile,CC(=CC#N)CCC1=CC=CC=C1,1
1590833,1-Allyl-3-(4-chlorophenyl)urea,C=CCNC(=O)NC1=CC=C(C=C1)Cl,1
1591523,N-Allyl-2-chloro-4-nitrobenzamide,C=CCNC(=O)C1=C(C=C(C=C1)[N+](=O)[O-])Cl,1
1616260,"(Z)-1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)-2-buten-1-one",CC=CC(=O)C1=C(CCCC1(C)C)C,1
1623625,Amylcinnamaldehyde,CCCCCC(=CC1=CC=CC=C1)C=O,1
1647623,[4-[(Carbamothioylhydrazinylidene)methyl]-2-methoxyphenyl] benzoate,COC1=C(C=CC(=C1)C=NNC(=S)N)OC(=O)C2=CC=CC=C2,1
1678440,3-Morpholin-4-ylpropanohydrazide,C1COCCN1CCC(=O)NN,1
1711919,(Z)-3-Phenylacrylonitrile,C1=CC=C(C=C1)C=CC#N,1
1712058,2-Benzylideneheptanal,CCCCCC(=CC1=CC=CC=C1)C=O,1
1712093,4-Ethoxymethylene-2-phenyl-2-oxazolin-5-one,CCOC=C1C(=O)OC(=N1)C2=CC=CC=C2,1
1712094,Oxazolone,CCOC=C1C(=O)OC(=N1)C2=CC=CC=C2,1
1713148,"2-Mercapto-5,6,7,8-tetrahydroquinoline-3-carbonitrile",C1CCC2=C(C1)C=C(C(=S)N2)C#N,1
1715134,"(S)-7-Hydroxy-3,7-dimethyloctanal",CC(CCCC(C)(C)O)CC=O,1
1715135,2-Benzylideneoctanal,CCCCCCC(=CC1=CC=CC=C1)C=O,1
1715183,Ethyl (ethoxymethylene)cyanoacetate,CCOC=C(C#N)C(=O)OCC,1
1715188,(2Z)-2-cyano-3-(1H-indol-3-yl)prop-2-enamide,C1=CC=C2C(=C1)C(=CN2)C=C(C#N)C(=O)N,1
1715226,(R)-1-(4-Chlorophenyl)ethylamine,CC(C1=CC=C(C=C1)Cl)N,1
1728690,4-(4-Chlorobenzylidene)-2-(3-nitrophenyl)oxazol-5(4H)-one,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC(=CC3=CC=C(C=C3)Cl)C(=O)O2,1
1728691,4-(4-Chlorobenzylidene)-2-(3-nitrophenyl)-2-oxazolin-5-one,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC(=CC3=CC=C(C=C3)Cl)C(=O)O2,1
1728713,4-Acetylphenyl 4-chlorobenzenesulfonate,CC(=O)C1=CC=C(C=C1)OS(=O)(=O)C2=CC=C(C=C2)Cl,1
1738173,"5-Octen-4-one, 2,7-dimethyl-",CC(C)CC(=O)C=CC(C)C,1
1757003,Pseudoionone,CC(=CCCC(=CC=CC(=O)C)C)C,1
1787910,Codlelure,CC=CC=CCCCCCCCO,1
1796220,(+)-Longifolene,CC1(CCCC2(C3C1C(C2=C)CC3)C)C,1
1797197,"N,N-Dimethyl-alpha-(4-iodophenylimino)-P-toluidine",CN(C)C1=CC=C(C=C1)C=NC2=CC=C(C=C2)I,1
1799099,2-(2-Bromoethoxy)anisole,COC1=CC=CC=C1OCCBr,1
1803902,4-[[4-[(4-Carboxy-3-hydroxyphenyl)iminomethyl]phenyl]methylideneamino]-2-hydroxybenzoic acid,C1=CC(=CC=C1C=NC2=CC(=C(C=C2)C(=O)O)O)C=NC3=CC(=C(C=C3)C(=O)O)O,1
1808402,butyl N-(4-chlorophenyl)carbamate,CCCCOC(=O)NC1=CC=C(C=C1)Cl,1
1808441,N-(4-iodophenyl)-1-(4-phenylmethoxyphenyl)methanimine,C1=CC=C(C=C1)COC2=CC=C(C=C2)C=NC3=CC=C(C=C3)I,1
1809459,"N,N'-Divanillylideneethylenediamine",COC1=C(C=CC(=C1)C=NCCN=CC2=CC(=C(C=C2)O)OC)O,1
1809558,"N,N'-Bis(4-methoxybenzylidene)-1,4-phenylenediamine",COC1=CC=C(C=C1)C=NC2=CC=C(C=C2)N=CC3=CC=C(C=C3)OC,1
1810419,"1-(3-chloropropyl)-1,3-dihydro-2H-benzimidazol-2-one",C1=CC=C2C(=C1)NC(=O)N2CCCCl,1
1810725,1-(2-Methoxyethyl)-2-thiourea,COCCNC(=S)N,1
2060457,4-Ethyl-3-nitrobenzaldehyde,CCC1=C(C=C(C=C1)C=O)[N+](=O)[O-],1
2060579,1-(4-Benzyloxyphenyl)-2-thiourea,C1=CC=C(C=C1)COC2=CC=C(C=C2)NC(=S)N,1
2060838,3-Methoxythiobenzamide,COC1=CC=CC(=C1)C(=S)N,1
2061989,"2-(Chloromethyl)-1,3-benzoxazole",C1=CC=C2C(=C1)N=C(O2)CCl,1
2063466,"2-(4-Bromophenyl)-1-(2,4-dihydroxyphenyl)ethanone",C1=CC(=CC=C1CC(=O)C2=C(C=C(C=C2)O)O)Br,1
2063485,2-Methoxyethyl 2-((3-nitrophenyl)methylene)acetoacetate,CC(=O)C(=CC1=CC(=CC=C1)[N+](=O)[O-])C(=O)OCCOC,1
2063555,2-(4-chlorophenoxy)-N-(2-furylmethyl)acetamide,C1=COC(=C1)CNC(=O)COC2=CC=C(C=C2)Cl,1
2063589,"(E)-4-(dimethylamino)-1,1,1-trifluorobut-3-en-2-one",CN(C)C=CC(=O)C(F)(F)F,1
2063641,6-Chloro-2-imino-2H-chromene-3-carbothioamide,C1=CC2=C(C=C1Cl)C=C(C(=N)O2)C(=S)N,1
2063823,4-(Allyloxy)-3-methoxybenzaldehyde,COC1=C(C=CC(=C1)C=O)OCC=C,1
2063864,4-(Diethylamino)benzohydrazide,CCN(CC)C1=CC=C(C=C1)C(=O)NN,1
2132054,5-(4-Butoxy-benzylidene)-2-thioxo-thiazolidin-4-one,CCCCOC1=CC=C(C=C1)C=C2C(=O)NC(=S)S2,1
2259865,Methyl 2-(2-nitrobenzylidene)acetoacetate,CC(=O)C(=CC1=CC=CC=C1[N+](=O)[O-])C(=O)OC,1
2273996,"N,N-dibenzyl-4-tert-butylbenzamide",CC(C)(C)C1=CC=C(C=C1)C(=O)N(CC2=CC=CC=C2)CC3=CC=CC=C3,1
2305424,"2-(1,3-Benzothiazol-2-ylsulfanyl)-1-(4-chlorophenyl)ethanone",C1=CC=C2C(=C1)N=C(S2)SCC(=O)C3=CC=C(C=C3)Cl,1
2320576,5-Amino-2-iodopyridine,C1=CC(=NC=C1N)I,1
2324770,2-Bromo-1-(4-tert-butylphenyl)ethanone,CC(C)(C)C1=CC=C(C=C1)C(=O)CBr,1
2366697,N-acetyl-2-chloroacetamide,CC(=O)NC(=O)CCl,1
2384269,4-(4-Methoxyphenoxy)-3-nitrobenzaldehyde,COC1=CC=C(C=C1)OC2=C(C=C(C=C2)C=O)[N+](=O)[O-],1
2386059,N-(2-benzylphenyl)-2-chloroacetamide,C1=CC=C(C=C1)CC2=CC=CC=C2NC(=O)CCl,1
2392321,"2-Chloro-1-(3,4-difluorophenyl)ethanone",C1=CC(=C(C=C1C(=O)CCl)F)F,1
2392400,1-Difluoromethylsulfanyl-4-isothiocyanato-benzene,C1=CC(=CC=C1N=C=S)SC(F)F,1
2507691,(S)-1-(3-chlorophenyl)ethanamine,CC(C1=CC(=CC=C1)Cl)N,1
2507697,(R)-1-(3-chlorophenyl)ethanamine,CC(C1=CC(=CC=C1)Cl)N,1
2507867,4-(Azepan-1-yl)benzaldehyde,C1CCCN(CC1)C2=CC=C(C=C2)C=O,1
2564761,"2-(Chloromethyl)-5-(3-chlorophenyl)-1,3-oxazole",C1=CC(=CC(=C1)Cl)C2=CN=C(O2)CCl,1
2608606,"N-(2,6-dimethylphenyl)-2-(piperazin-1-yl)acetamide",CC1=C(C(=CC=C1)C)NC(=O)CN2CCNCC2,1
2723589,"3,3-Diphenyltetrahydrofuran-2-ylidene(dimethyl)ammonium bromide",C[N+](=C1C(CCO1)(C2=CC=CC=C2)C3=CC=CC=C3)C.[Br-],1
2723622,"1,3-Dibutyl-2-thiourea",CCCCNC(=S)NCCCC,1
2723631,"N,N'-Dimethylthiourea",CNC(=S)NC,1
2723636,alpha-D-Glucose pentaacetate,CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,1
2723641,"2,2-dihydroxyacetic Acid",C(C(=O)O)(O)O,1
2723650,Ethylenethiourea,C1CNC(=S)N1,1
2723694,4'-tert-Butyl-4-chlorobutyrophenone,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCCl,1
2723706,"2,3-Dichloro-4-oxobut-2-enoic acid",C(=O)C(=C(C(=O)O)Cl)Cl,1
2723756,N-Phenyl-1-naphthylamine hydrobromide,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32.Br,1
2723766,Carbic anhydride,C1C2C=CC1C3C2C(=O)OC3=O,1
2723790,Thiourea,C(=S)(N)N,1
2723802,"1H-1,2,4-Triazole-3-thiol",C1=NC(=S)NN1,1
2723831,4-Benzyloxyaniline hydrochloride,C1=CC=C(C=C1)COC2=CC=C(C=C2)N.Cl,1
2723854,Indigo carmine,C1=CC2=C(C=C1S(=O)(=O)[O-])C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)[O-])O.[Na+].[Na+],1
2723861,3-Iodobenzylamine hydrochloride,C1=CC(=CC(=C1)I)CN.Cl,1
2723865,Dibenzoyl-L-tartaric acid monohydrate,C1=CC=C(C=C1)C(=O)OC(C(C(=O)O)OC(=O)C2=CC=CC=C2)C(=O)O.O,1
2723904,4-Methoxyphenylhydrazine hydrochloride,COC1=CC=C(C=C1)NN.Cl,1
2723905,"2,4-Dichlorophenylhydrazine hydrochloride",C1=CC(=C(C=C1Cl)Cl)NN.Cl,1
2723907,3-Amino-4-pyrazolecarboxamide hemisulfate,C1=NNC(=C1C(=O)N)N.C1=NNC(=C1C(=O)N)N.OS(=O)(=O)O,1
2723939,1-(3-Dimethylaminopropyl)-3-ethylcarbodiimide hydrochloride,CCN=C=NCCCN(C)C.Cl,1
2723978,Iodo(2H3)methane,CI,1
2724063,Naphthol Yellow S,C1=CC2=C(C=C1S(=O)(=O)[O-])C(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[O-].[Na+].[Na+],1
2724216,cobalt(II) acetylacetonate,CC(=O)[CH-]C(=O)C.CC(=O)[CH-]C(=O)C.[Co+2],1
2724372,"(S)-[(2R,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-quinolin-4-ylmethanol",C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,1
2724514,tert-Butyl-4-chloro-3-oxobutanoate,CC(C)(C)OC(=O)CC(=O)CCl,1
2724617,Methyl-3-methoxyacrylate,COC=CC(=O)OC,1
2724622,(S)-2-phenylpropanoic acid,CC(C1=CC=CC=C1)C(=O)O,1
2724633,Fmoc-Ser(tBu)-OH,CC(C)(C)OCC(C(=O)O)NC(=O)OCC1C2=CC=CC=C2C3=CC=CC=C13,1
2724792,2-[(4-Fluorophenoxy)methyl]oxirane,C1C(O1)COC2=CC=C(C=C2)F,1
2724853,Iodoethane-d5,CCI,1
2724855,Benzoyl chloride-d5,C1=CC=C(C=C1)C(=O)Cl,1
2724933,"1-Chloromethyl-4-fluoro-1,4-diazoniabicyclo[2.2.2]octane bis(tetrafluoroborate)",[B-](F)(F)(F)F.[B-](F)(F)(F)F.C1C[N+]2(CC[N+]1(CC2)CCl)F,1
2724937,"1,3-Bis(diphenylphosphino)propane nickel(II) chloride",C1=CC=C(C=C1)P(CCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4.Cl[Ni]Cl,1
2725037,"(1R,4S)-2-azabicyclo[2.2.1]hept-5-en-3-one",C1C2C=CC1NC2=O,1
2725045,"(1R,2S)-1-amino-2-indanol",C1C(C(C2=CC=CC=C21)N)O,1
2725143,4-{[4-(Dimethylamino)benzylidene]amino}-2-hydroxybenzoic acid,CN(C)C1=CC=C(C=C1)C=NC2=CC(=C(C=C2)C(=O)O)O,1
2731043,"N'-(4-Chlorophenyl)-N,N-dimethylthiourea",CN(C)C(=S)NC1=CC=C(C=C1)Cl,1
2731098,"1-(2,4,6-Trichlorophenyl)-2-thiourea",C1=C(C=C(C(=C1Cl)NC(=S)N)Cl)Cl,1
2732087,1-Benzyl-1-isopropyl-3-phenylurea,CC(C)N(CC1=CC=CC=C1)C(=O)NC2=CC=CC=C2,1
2733084,"2-(1h-Benzotriazole-1-yl)-1,1,3,3-tetramethyluronium hexafluorophosphate",CN(C)C(=[N+](C)C)ON1C2=CC=CC=C2N=N1.F[P-](F)(F)(F)(F)F,1
2733207,"2-(1H-Benzotriazole-1-yl)-1,1,3,3-tetramethyluronium tetrafluoroborate",[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C2=CC=CC=C2N=N1,1
2733209,2-Ethylphenylhydrazine hydrochloride,CCC1=CC=CC=C1NN.Cl,1
2733285,L-Leucine-p-nitroanilide,CC(C)CC(C(=O)NC1=CC=C(C=C1)[N+](=O)[O-])N,1
2733319,4-(Chloromethyl)phenyl isocyanate,C1=CC(=CC=C1CCl)N=C=O,1
2733323,4-Isocyanatobenzoyl chloride,C1=CC(=CC=C1C(=O)Cl)N=C=O,1
2733363,4-Bromo-2-chlorophenyl isocyanate,C1=CC(=C(C=C1Br)Cl)N=C=O,1
2733418,Aniline-d7,C1=CC=C(C=C1)N,1
2733434,"1'-Benzyl-[1,4'-bipiperidine]-4'-carbonitrile",C1CCN(CC1)C2(CCN(CC2)CC3=CC=CC=C3)C#N,1
2733477,"2,2,2-Trifluoroacetyl isocyanate",C(=NC(=O)C(F)(F)F)=O,1
2733548,Bis(pinacolato)diborane,B1(OC(C(O1)(C)C)(C)C)B2OC(C(O2)(C)C)(C)C,1
2733604,2-Mercapto-L-histidine,C1=C(NC(=S)N1)CC(C(=O)O)N,1
2733641,(R)-(-)-2-Chloromandelic acid,C1=CC=C(C(=C1)C(C(=O)O)O)Cl,1
2733735,3-Amino-5-methylhexanoic acid,CC(C)CC(CC(=O)O)N,1
2733839,Trimethylsilyl methacrylate,CC(=C)C(=O)O[Si](C)(C)C,1
2733849,"2,6-Dichloro-5-fluoro-3-pyridinecarbonitrile",C1=C(C(=NC(=C1F)Cl)Cl)C#N,1
2733867,3-Amino-7-(diethylamino)-5-phenylphenazin-5-ium chloride,CCN(CC)C1=CC2=[N+](C3=C(C=CC(=C3)N)N=C2C=C1)C4=CC=CC=C4.[Cl-],1
2733920,(S)-(-)-Indoline-2-carboxylic acid,C1C(NC2=CC=CC=C21)C(=O)O,1
2733924,5-Bromothiophene-2-sulfonyl chloride,C1=C(SC(=C1)Br)S(=O)(=O)Cl,1
2733980,"2,5-Diamino-4,6-dihydroxypyrimidine Hydrochloride",C1(=C(N=C(NC1=O)N)O)N.Cl,1
2734029,"2,3,5,6-Tetrafluorobenzyl alcohol",C1=C(C(=C(C(=C1F)F)CO)F)F,1
2734062,(R)-(-)-Epichlorohydrin,C1C(O1)CCl,1
2734078,"3,6,9-Triethyl-3,6,9-trimethyl-1,2,4,5,7,8-hexoxonane",CCC1(OOC(OOC(OO1)(C)CC)(C)CC)C,1
2734413,"3-Bromopyridine-2,5-diamine",C1=C(C=NC(=C1Br)N)N,1
2734488,Boc-L-Propargylglycine,CC(C)(C)OC(=O)NC(CC#C)C(=O)O,1
2734500,Boc-3-(3-pyridyl)-D-alanine,CC(C)(C)OC(=O)NC(CC1=CN=CC=C1)C(=O)O,1
2734517,(S)-(+)-2-Aminoheptane,CCCCCC(C)N,1
2734558,Bis(tri-tert-butylphosphine)palladium(0),CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd],1
2734626,"2,4-Dimethoxybenzenesulfonyl chloride",COC1=CC(=C(C=C1)S(=O)(=O)Cl)OC,1
2734629,Indole-7-carboxaldehyde,C1=CC2=C(C(=C1)C=O)NC=C2,1
2734636,Calcium thioglycolate trihydrate,C(C(=O)[O-])S.C(C(=O)[O-])S.O.O.O.[Ca+2],1
2734672,1H-Pyrazole-1-carboxamidine hydrochloride,C1=CN(N=C1)C(=N)N.Cl,1
2734678,2-Amino-4-(trifluoromethyl)benzenethiol hydrochloride,C1=CC(=C(C=C1C(F)(F)F)N)S.Cl,1
2734685,4-Octylbenzaldehyde,CCCCCCCCC1=CC=C(C=C1)C=O,1
2734687,Aminoguanidine hydrochloride,C(=NN)(N)N.Cl,1
2734755,inhibin (TN),CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O.Br,1
2734794,N-(3-Chlorophenyl)thiourea,C1=CC(=CC(=C1)Cl)NC(=S)N,1
2734824,2-Chlorothiobenzamide,C1=CC=C(C(=C1)C(=S)N)Cl,1
2734826,4-Chlorothiobenzamide,C1=CC(=CC=C1C(=S)N)Cl,1
2734848,Bis(4-tert-butylphenyl)iodonium trifluoromethanesulfonate,CC(C)(C)C1=CC=C(C=C1)[I+]C2=CC=C(C=C2)C(C)(C)C.C(F)(F)(F)S(=O)(=O)[O-],1
2734867,"Bis(1,5-cyclooctadiene)rhodium tetrafluoroborate",[B-](F)(F)(F)F.C1CC=CCCC=C1.C1CC=CCCC=C1.[Rh],1
2734894,"(2S,3R)-methyl 2-amino-3-hydroxybutanoate",CC(C(C(=O)OC)N)O,1
2734905,4-Methoxy-2-methylphenyl isocyanate,CC1=C(C=CC(=C1)OC)N=C=O,1
2734913,"1,3-Bis(2,6-diisopropylphenyl)imidazolium chloride",CC(C)C1=C(C(=CC=C1)C(C)C)N2C=C[N+](=C2)C3=C(C=CC=C3C(C)C)C(C)C.[Cl-],1
2734938,2-(Dicyclohexylphosphino)-2'-methylbiphenyl,CC1=CC=CC=C1C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,1
2734952,Aminoguanidine hemisulfate,C(=NN)(N)N.C(=NN)(N)N.OS(=O)(=O)O,1
2734956,p-Anisidine hydrochloride,COC1=CC=C(C=C1)N.Cl,1
2735009,"N,N'-Diethylthiourea",CCNC(=S)NCC,1
2735038,"4-Vinyl-1,3-dioxolan-2-one",C=CC1COC(=O)O1,1
2735045,Potassium ethylxanthate,CCOC(=S)[S-].[K+],1
2735219,2-Acetamido-5-aminopyridine,CC(=O)NC1=NC=C(C=C1)N,1
2735353,5-Aminoisatoic anhydride,C1=CC2=C(C=C1N)C(=O)OC(=O)N2,1
2735473,Benzoylthiourea,C1=CC=C(C=C1)C(=O)NC(=S)N,1
2735618,1-(2-Bromophenyl)-2-thiourea,C1=CC=C(C(=C1)NC(=S)N)Br,1
2735671,2-Butyl-1H-imidazole-4-carbaldehyde,CCCCC1=NC=C(N1)C=O,1
2735722,2-Chloro-4-cyanobenzenesulfonyl chloride,C1=CC(=C(C=C1C#N)Cl)S(=O)(=O)Cl,1
2735892,Cyclopentyl chloroformate,C1CCC(C1)OC(=O)Cl,1
2735919,4-Amino-3-fluorophenol,C1=CC(=C(C=C1O)F)N,1
2735930,"N2-methyl-5-(trifluoromethyl)pyridine-2,3-diamine",CNC1=C(C=C(C=N1)C(F)(F)F)N,1
2735952,4-Amino-3-(trifluoromethoxy)benzonitrile,C1=CC(=C(C=C1C#N)OC(F)(F)F)N,1
2735968,"2,3-Dichlorobenzoyl cyanide",C1=CC(=C(C(=C1)Cl)Cl)C(=O)C#N,1
2736091,"2-[(2,6-Dichloropyridin-4-yl)thio]acetic acid",C1=C(C=C(N=C1Cl)Cl)SCC(=O)O,1
2736418,3-Bromo-4-(trifluoromethoxy)aniline,C1=CC(=C(C=C1N)Br)OC(F)(F)F,1
2736581,3-(2-Chloro-6-fluorophenyl)-5-methylisoxazole-4-carbonyl chloride,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)Cl,1
2736613,3-Hydroxythiophenol,C1=CC(=CC(=C1)S)O,1
2736675,2-Chloro-4-(trifluoromethyl)benzenesulfonyl chloride,C1=CC(=C(C=C1C(F)(F)F)Cl)S(=O)(=O)Cl,1
2736682,2-Chloro-5-(trifluoromethyl)benzylamine,C1=CC(=C(C=C1C(F)(F)F)CN)Cl,1
2736721,"Cobalt(2+); 1,1,1,5,5,5-hexafluoro-4-oxo-2-penten-2-olate",C(=C(C(F)(F)F)[O-])C(=O)C(F)(F)F.C(=C(C(F)(F)F)[O-])C(=O)C(F)(F)F.[Co+2],1
2736776,6-Methoxynicotinonitrile,COC1=NC=C(C=C1)C#N,1
2736821,"2,4-Dichloro-5-fluorobenzoyl chloride",C1=C(C(=CC(=C1F)Cl)Cl)C(=O)Cl,1
2736970,"2,2-difluoro-2H-1,3-benzodioxole-4-carbaldehyde",C1=CC(=C2C(=C1)OC(O2)(F)F)C=O,1
2737212,1-(2-Piperidin-1-yl-ethyl)-piperazine,C1CCN(CC1)CCN2CCNCC2,1
2737218,"Ethyl 2,2,3,3,4,4,5,5,6,6,7,7-dodecafluoroheptanoate",CCOC(=O)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1
2737307,"2,6-Dichloro-1-fluoropyridin-1-ium tetrafluoroborate",[B-](F)(F)(F)F.C1=CC(=[N+](C(=C1)Cl)F)Cl,1
2737329,"1-Fluoro-4-hydroxy-1,4-diazoniabicyclo[2.2.2]octane bis(tetrafluoroborate)",[B-](F)(F)(F)F.[B-](F)(F)(F)F.C1C[N+]2(CC[N+]1(CC2)O)F,1
2737455,"2,3-Dihydrobenzofuran-5-acetic acid",C1COC2=C1C=C(C=C2)CC(=O)O,1
2737612,2-Amino-4-chloro-5-formylthiophene-3-carbonitrile,C(=O)C1=C(C(=C(S1)N)C#N)Cl,1
2737646,3-Amino-2-chloro-6-(trifluoromethyl)pyridine,C1=CC(=NC(=C1N)Cl)C(F)(F)F,1
2737744,5-Amino-2-(trifluoromethyl)pyridine,C1=CC(=NC=C1N)C(F)(F)F,1
2737798,2-Amino-5-formylthiazole,C1=C(SC(=N1)N)C=O,1
2738128,1-(4-chlorophenyl)-1-cyclopropyl-N-[(4-nitrophenyl)methoxy]methanimine,C1CC1C(=NOCC2=CC=C(C=C2)[N+](=O)[O-])C3=CC=C(C=C3)Cl,1
2739688,3-Bromothiophene-2-carboxylic acid,C1=CSC(=C1Br)C(=O)O,1
2740936,"pyrrolo[1,2-a]quinoxalin-4(5H)-one",C1=CC=C2C(=C1)NC(=O)C3=CC=CN23,1
2753367,4-tert-Butoxy-4-oxobut-2-enoic acid,CC(C)(C)OC(=O)C=CC(=O)O,1
2754067,1-Octylazepan-2-one,CCCCCCCCN1CCCCCC1=O,1
2756289,(3-Acryloxypropyl)methyldimethoxysilane,CO[Si](C)(CCCOC(=O)C=C)OC,1
2756529,2-((4-Aminophenyl)(ethyl)amino)ethanol sulfate,CCN(CCO)C1=CC=C(C=C1)N.OS(=O)(=O)O,1
2756559,4-Aminothiobenzamide,C1=CC(=CC=C1C(=S)N)N,1
2756638,1-(Benzyloxy)-3-bromobenzene,C1=CC=C(C=C1)COC2=CC(=CC=C2)Br,1
2756650,4-Benzyl-2-phenyl-2-oxazoline-5-one,C1=CC=C(C=C1)CC2C(=O)OC(=N2)C3=CC=CC=C3,1
2756784,tert-Butyl 2-cyanopiperidine-1-carboxylate,CC(C)(C)OC(=O)N1CCCCC1C#N,1
2756788,(R)-1-Boc-2-cyanopyrrolidine,CC(C)(C)OC(=O)N1CCCC1C#N,1
2756871,5-Bromo-2-chlorobenzoyl chloride,C1=CC(=C(C=C1Br)C(=O)Cl)Cl,1
2757010,4-Bromo-2-furaldehyde,C1=C(OC=C1Br)C=O,1
2757186,3-Bromothiobenzamide,C1=CC(=CC(=C1)Br)C(=S)N,1
2757694,4-Chloro-3-methylphenyl isothiocyanate,CC1=C(C=CC(=C1)N=C=S)Cl,1
2757749,1-(4-(4-Chlorophenoxy)phenyl)ethanone,CC(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,1
2757979,2-Cyanopyrimidine,C1=CN=C(N=C1)C#N,1
2758148,"2-(2,6-Dichlorophenyl)acetyl chloride",C1=CC(=C(C(=C1)Cl)CC(=O)Cl)Cl,1
2758361,"3,5-Difluorothiophenol",C1=C(C=C(C=C1F)S)F,1
2758400,"3,4-Dimethoxybenzyl isothiocyanate",COC1=C(C=C(C=C1)CN=C=S)OC,1
2758657,"N,N-dimethyl-3-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)benzamide",B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)C(=O)N(C)C,1
2759031,1-Fluoro-2-isothiocyanato-4-methylbenzene,CC1=CC(=C(C=C1)F)N=C=S,1
2759249,3-Glycidoxypropyldimethoxymethylsilane,CO[Si](C)(CCCOCC1CO1)OC,1
2759344,4-Hydroxythiobenzamide,C1=CC(=CC=C1C(=S)N)O,1
2759403,Methyl 2-isocyanatopropanoate,CC(C(=O)OC)N=C=O,1
2759524,3-Mercaptopropylmethyldimethoxysilane,CO[Si](C)(CCCS)OC,1
2759579,2-Methoxy-N-methylaniline,CNC1=CC=CC=C1OC,1
2759599,2-Methoxy-4-nitrobenzaldehyde,COC1=C(C=CC(=C1)[N+](=O)[O-])C=O,1
2759828,Methyl 4-(bromomethyl)-3-methoxybenzoate,COC1=C(C=CC(=C1)C(=O)OC)CBr,1
2759833,Methyl 2-chloro-6-methylisonicotinate,CC1=CC(=CC(=N1)Cl)C(=O)OC,1
2759913,Methyl 2-isothiocyanatobutanoate,CCC(C(=O)OC)N=C=S,1
2760275,Methyl 3-oxo-3-(thiophen-2-YL)propanoate,COC(=O)CC(=O)C1=CC=CS1,1
2760728,{2-[2-(Trifluoromethoxy)phenyl]ethyl}amine,C1=CC=C(C(=C1)CCN)OC(F)(F)F,1
2760894,N-methyl-2-(trifluoromethyl)aniline,CNC1=CC=CC=C1C(F)(F)F,1
2760920,2-Amino-3-(trifluoromethyl)pyridine,C1=CC(=C(N=C1)N)C(F)(F)F,1
2760955,tert-Butyl N-(2-aminomethylphenyl)carbamate,CC(C)(C)OC(=O)NC1=CC=CC=C1CN,1
2760960,5-Chloro-6-(4-chlorophenyl)pyridazin-3(2H)-one,C1=CC(=CC=C1C2=NNC(=O)C=C2Cl)Cl,1
2760961,5-Chloro-6-(3-chlorophenyl)pyridazin-3(2H)-one,C1=CC(=CC(=C1)Cl)C2=NNC(=O)C=C2Cl,1
2761024,"2,6-Dichloroisonicotinaldehyde",C1=C(C=C(N=C1Cl)Cl)C=O,1
2761025,2-Chloro-5-(4-chlorophenyl)pyrimidine,C1=CC(=CC=C1C2=CN=C(N=C2)Cl)Cl,1
2761033,4-Aminonicotinaldehyde,C1=CN=CC(=C1N)C=O,1
2761034,Pyrimidine-5-carbaldehyde,C1=C(C=NC=N1)C=O,1
2761044,"Ethyl 2,6-dichloro-5-nitropyrimidine-4-carboxylate",CCOC(=O)C1=C(C(=NC(=N1)Cl)Cl)[N+](=O)[O-],1
2761121,"3-Chloro-6-[(4,6-dimethylpyrimidin-2-yl)thio]pyridazine",CC1=CC(=NC(=N1)SC2=NN=C(C=C2)Cl)C,1
2761422,4-(Trifluoromethyl)phenylmethanethiol,C1=CC(=CC=C1CS)C(F)(F)F,1
